rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
201,Virginia Polytechnic Institute and State University,32838,18.3,14,43,37.5,42.3,70.9,47.5,54,50.4475
201,Vita-Salute San Raffaele University,2610,10.7,3,59,38.7,22.4,97.6,35.9,43.1,51.74
201,Vrije Universiteit Brussel,11371,28.4,22,54,37.4,42.3,62.7,87,75.4,50.55
201,Wake Forest University,7675,4,9,53,42.8,18.8,94.1,43.6,31.2,50.14
201,University of Waterloo,33519,23.6,20,47,35,42.1,66.3,45.1,84.1,50.455
201,Western University,29865,23.1,18,56,40.2,35.7,76.4,59.1,80,53.1675
201,William & Mary,8235,11.4,9,55,47.5,21.1,87.4,35.3,37.3,50.48
201,University of Wollongong,18642,31.5,29,52,29.9,35,75.5,55.7,93.4,50.5175
251,Alfaisal University,2566,10.4,34,60,19.6,21.2,95,50.4,98.1,49.3575
251,Auckland University of Technology,18035,17.1,47,59,19.7,18.4,98,36.7,95.8,48.9325
251,Autonomous University of Madrid,29576,13.4,14,61,40.1,28.7,74.5,38.6,51.5,47.8175
251,University of Bath,13825,16.4,32,46,28.6,31.1,75.7,37.5,90.3,48.33
251,Brighton and Sussex Medical School,879,11.3,15,57,15.9,19.9,100,34.4,77.7,47.4275
251,University at Buffalo,25849,17.4,17,44,37.2,32.7,73.8,42.1,64.7,49.015
251,"University of California, Riverside",22272,18,14,53,31.2,30.3,85.9,39.4,64.7,50.0575
251,Chalmers University of Technology,9209,12.5,17,32,36.1,42.1,60,74.1,82.9,49.53
251,University of Cincinnati,28434,20.4,9,51,35.5,30.8,83.9,39.4,40.9,49.1125
251,Curtin University,29214,20.2,31,51,23.4,30.4,83.2,44.8,94.2,49.285
251,Dalhousie University,15196,14.7,23,54,27.7,29.6,79.5,44.4,85.4,48.555
251,University of Delaware,20566,17,10,57,28.5,38.2,71.5,90.6,47.2,47.265
251,École des Ponts ParisTech,2005,11.3,44,32,39.9,24.5,73.1,57.5,82.3,48.86
251,University of Essex,11923,16.1,39,54,31.6,34.3,68.6,35,96.5,48.4625
251,Flinders University,16844,25.8,34,64,22.5,29.9,84.4,37.7,88,48.5825
251,Florida State University,38520,24.1,7,56,38,40.1,69.2,39.4,43.5,48.4375
251,George Mason University,29377,18,10,54,29.9,26.3,89.5,35.8,46.2,48.07
251,Heriot-Watt University,9189,17.2,35,41,28.4,26.7,75.2,42,94,47.19
251,Higher School of Economics,22111,13.1,9,,35.9,37.3,78.1,56.5,42,49.9525
251,University of Illinois at Chicago,27031,11.5,20,52,45,33.4,69.7,43.2,54.9,49.6275
251,University of Kiel,26412,22.2,8,53,30.6,27.5,86.8,34.4,54.9,48.4475
251,La Trobe University,22292,33.9,29,64,27.1,33.1,73.3,51.3,83.8,47.6175
251,Laval University,29250,17.3,13,57,40.1,31.8,67.6,59.6,69.2,48.53
251,Macau University of Science and Technology,9924,24.4,79,56,27.1,22.4,83,34.8,99.6,48.09
251,Medical University of Innsbruck,2966,4.3,44,52,30.5,14.2,89.1,51.5,93.9,48.47
251,"National University of Ireland, Galway",13911,26.6,17,58,27.1,29.9,76.3,42.4,79.8,47.035
251,University of Navarra,10833,13,22,53,30.4,27.9,80.3,85.5,65.1,48.6
251,University of Oregon,22143,10.8,12,54,34,29.3,83.7,34.7,37,47.7425
251,Oregon Health and Science University,2895,1,3,66,35.7,16.7,99.7,47.6,26.6,48.815
251,University of Oulu,10086,30,6,51,30.3,34.4,76.4,43,54.3,47.4775
251,University of Passau,11387,86.6,12,59,32.8,39.3,75.5,47.5,59.1,49.9
251,University of Potsdam,20063,53.9,11,57,36.8,40.8,65.2,56.2,57.4,48.55
251,Queen’s University,23306,25.1,13,58,41.5,37.8,62.6,65.7,66.3,49.185
